jaket [n]	jacket (coat)
jama [v]	collect (gather)
jami [a]	collective (aggregate)
jamia [n]	congregation (assembly)
jan [v]	know
jane [n]	knowledge
jang [n]	fight (war)
janga [v]	fight (battle)
jeb [n]	pocket
jel [n]	gel (jelly)
jelos [a]	jealous
jen [n]	birth
jena [v]	give birth
jener [n]	parent
jenu [v]	be born
jeste [n]	gesture
ji [tam]	just (only)
jia [n]	home
jin [n]	near (close)
jins [n]	sex (gender)
jiraf [n]	giraffe
jiv [n]	life
jiva [v]	live
jivi [a]	living (alive)
jo [pp]	which (that who)
jok [v]	joke
jovan [a]	young
juk [n]	bamboo
jumle [n]	sentence (phrase)
jup [n]	jup
jus [n]	juice
juxa [v]	inject
kabil [a]	able (capable)
kafas [n]	cage
kafe [n]	coffee
kafe kop [cn]	coffee cup
kafi [a]	brown
kak [n]	excrement(shit)
kal [n]	coal (carbon)
kali [a]	black
kamar [n]	room (chamber)
kamis [n]	shirt
kan [n]	workshop
kanguru [n]	cangaroo
kanun [n]	law
kap [v]	get (take, receive)
kar [v]	make (do, act, perform)
karde [n]	card
kare [n]	work (deed)
karia [n]	workplace
karie [n]	job (occupation)
karot [n]	carrot
kastan [n]	chestnut
kata [v]	tell (story)
kaway [a]	cute
kay [a]	open (not closed)
kaya [v]	open
kaz [n]	event (case, instance)
ke [dp]	what?
kek [n]	cake
ketel [n]	kettle
kia [v]	ask (question)
kilo [num]	thousand (kilo-)
kilo gram [cw]	kilogram (kg)
kimie [n]	chemistry
kirat [n]	carat
kisme [n]	fate (destiny)
kitab [n]	writing (text)
kitaba [v]	write
klub [n]	club
kok [n]	chicken
koko [n]	coco
komputa [v]	compute
komputor [n]	computer
komun [a]	common (shared)
kona [n]	corner
konus [n]	cone
kop [n]	cup
kopie [n]	copy
korupti [a]	corrupt
kot [n]	coat
kota [v]	cut
koton [a]	cotton
koy [dp]	some
koz [n]	reason (cause)
koza [v]	cause (make happen)
krita [v]	cry (shout)
krus [n]	cross
kuan [a]	wide
kupa [n]	dome
kursi [n]	chair
kuzina [v]	cook (prepare food)
kuziner [n]	cook (chef)
